VISDATA
36
0 0
1 0
2 0
3 0
4 0
5 24  9 8 10 14 6 11 15 31 27 32 16 12 17 13 20 18 21 19 22 23 34 7 33 35 
6 24  9 8 31 5 27 32 10 14 11 15 16 12 17 13 20 18 21 19 22 23 34 7 33 35 
7 24  23 22 35 33 18 20 19 21 16 12 34 17 13 14 10 15 11 8 5 9 6 32 27 31 
8 24  6 15 5 14 9 16 17 27 31 18 10 19 11 32 12 13 20 34 22 7 21 33 23 35 
9 24  6 15 14 5 27 8 31 16 17 18 10 32 19 11 12 34 13 20 22 33 21 7 23 35 
10 24  13 12 11 5 20 6 21 32 8 22 23 9 31 14 7 15 16 27 18 17 35 19 33 34 
11 24  13 12 10 20 5 32 21 6 22 8 31 23 9 14 27 7 34 15 16 18 17 35 19 33 
12 24  21 11 10 20 13 22 23 5 6 7 32 8 9 18 14 35 31 16 19 15 27 17 33 34 
13 24  21 11 10 20 12 22 23 5 32 6 7 8 35 9 31 18 14 16 19 15 27 33 17 34 
14 24  17 9 16 8 18 15 5 19 6 27 34 31 10 7 11 22 12 33 32 20 23 13 35 21 
15 24  17 9 16 8 14 27 18 5 19 6 31 34 10 33 7 32 11 22 12 20 23 13 35 21 
16 24  15 19 14 18 8 17 9 34 5 6 7 27 33 22 23 10 20 31 35 12 11 21 13 32 
17 24  15 19 14 18 16 34 8 9 5 27 33 6 7 22 31 35 23 10 20 12 11 21 32 13 
18 24  17 16 14 19 15 7 34 33 8 22 23 9 35 5 20 21 6 12 27 10 13 31 11 32 
19 24  17 16 34 18 14 33 15 7 22 8 35 23 9 20 5 21 27 6 12 10 13 31 11 32 
20 24  13 23 12 22 10 21 11 7 35 5 18 6 19 8 16 32 33 14 9 17 34 31 15 27 
21 24  13 23 12 22 20 10 11 7 35 5 18 32 6 19 33 8 16 14 17 9 34 31 15 27 
22 24  7 21 20 12 23 13 35 18 10 11 19 33 16 17 5 14 34 8 6 15 32 9 31 27 
23 24  21 7 20 22 35 12 13 10 18 33 11 19 16 34 17 5 14 8 6 15 32 9 31 27 
24 0
25 0
26 0
27 24  9 31 15 6 8 14 5 17 16 32 10 18 11 19 34 12 13 20 33 21 7 22 35 23 
28 0
29 0
30 0
31 24  6 32 27 9 5 8 15 11 14 10 16 17 12 13 18 20 19 21 34 22 23 33 7 35 
32 24  31 6 11 5 10 9 13 8 12 27 20 21 14 15 22 16 23 17 18 7 19 35 34 33 
33 24  35 34 7 19 18 17 23 16 22 14 15 20 21 8 12 9 13 5 10 27 6 11 31 32 
34 24  19 33 17 18 16 15 7 14 35 8 22 9 23 11 27 20 5 21 6 31 12 13 10 32 
35 24  7 33 23 22 19 21 18 20 34 12 16 13 17 10 14 11 15 8 9 5 32 27 6 31 
